Column1,reform,district,population,child_population,young_child_population,metric_name,metric_value,mappable_measures.current|new|change,mappable_measures.demog,mappable_measures.pov|deep_pov,monthly_benefit,target_demog
125,"Young Children 100","003",140518.83013425834,30562.05982737942,8474.6194131600951,"total_pov_change",0,"change in","total","pov","100","Young Children"
125,"Young Children 100","003",140518.83013425834,30562.05982737942,8474.6194131600951,"child_pov_change",0,"change in","child","pov","100","Young Children"
125,"Young Children 100","003",140518.83013425834,30562.05982737942,8474.6194131600951,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
125,"Young Children 100","003",140518.83013425834,30562.05982737942,8474.6194131600951,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
125,"Young Children 100","003",140518.83013425834,30562.05982737942,8474.6194131600951,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
127,"Young Children 100","012",130908.08116763597,30119.172576573583,8139.57585812543,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
127,"Young Children 100","012",130908.08116763597,30119.172576573583,8139.57585812543,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
129,"Young Children 100","006",125611.7874249458,26627.900369576055,6495.668314121458,"total_pov_change",0,"change in","total","pov","100","Young Children"
129,"Young Children 100","006",125611.7874249458,26627.900369576055,6495.668314121458,"child_pov_change",0,"change in","child","pov","100","Young Children"
129,"Young Children 100","006",125611.7874249458,26627.900369576055,6495.668314121458,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
130,"Young Children 100","008",131122.27886295505,27579.985376932043,8905.3861816061562,"total_pov_change",0,"change in","total","pov","100","Young Children"
130,"Young Children 100","008",131122.27886295505,27579.985376932043,8905.3861816061562,"child_pov_change",0,"change in","child","pov","100","Young Children"
130,"Young Children 100","008",131122.27886295505,27579.985376932043,8905.3861816061562,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
131,"Young Children 100","042",131511.08893079936,27892.913901601019,7397.1411669178988,"total_pov_change",0,"change in","total","pov","100","Young Children"
131,"Young Children 100","042",131511.08893079936,27892.913901601019,7397.1411669178988,"child_pov_change",0,"change in","child","pov","100","Young Children"
131,"Young Children 100","042",131511.08893079936,27892.913901601019,7397.1411669178988,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
132,"Young Children 100","001",114170.96362899712,21238.114213837565,5578.4352729718958,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
132,"Young Children 100","001",114170.96362899712,21238.114213837565,5578.4352729718958,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
133,"Young Children 100","013",148745.83789038018,36389.271209665174,9943.9343175790709,"total_pov_change",0,"change in","total","pov","100","Young Children"
133,"Young Children 100","013",148745.83789038018,36389.271209665174,9943.9343175790709,"child_pov_change",0,"change in","child","pov","100","Young Children"
