district,population,child_population,young_child_population,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate,reform_target,monthly_benefit
"033",145629.0160642016,33012.007005937645,8479.4744565959336,-19.5,-51.1,-64.6,-2.9,-20.5,0,4.8481123400411335,4.9513997312771627,4.1618797496813587,3.9038060782146737,2.4228384583744664,1.4726086284483333,1.3956536649095244,0.48693791440321038,0.18980167044652874,1.3546762888781125,0.3869680597610845,0.18980167044652874,"All Children",200
"028",153445.79015279879,36302.886635973045,8134.7281513871967,-25.5,-53.9,-73.8,-5.5,-27.8,0,9.0709259748160562,11.212459366357768,8.5417343293277028,6.75857160894868,5.1647178690990252,2.2409873335498536,2.436896658593418,1.5186065693076511,1.5914257875933744,2.3020236687748938,1.0965018679345981,1.5914257875933744,"All Children",200
"036",137998.50638469058,27920.790532813553,6638.5901737524446,0,0,0,0,0,0,8.9837264200723581,7.0380245477462893,4.8160161549134353,8.9837264200723581,7.0380245477462893,4.8160161549134353,2.685236008596517,1.8274590320004231,0.36478072265690825,2.685236008596517,1.8274590320004231,0.36478072265690825,"Young Children",100
"023",133548.15767913003,27862.335125054648,6988.339586682655,-0.9,-1,-5.3,0,0,0,8.2820664742906782,13.204033501749022,9.534591348313306,8.2083480065259113,13.076538546865768,9.02627215236577,2.0635405268522296,0.6254186364870884,0.53736600714453819,2.0635405268522296,0.6254186364870884,0.53736600714453819,"Young Children",100
"024",130034.15953075975,28421.306083763156,7178.4315357458217,-12.8,-22,-49.9,0,0,0,15.421856382161264,24.753127311831371,20.257891274874531,13.451021080388822,19.300674954595166,10.147408730870437,2.8229976883308789,1.166093394702183,0.49511537284245583,2.8229976883308789,1.166093394702183,0.49511537284245583,"Young Children",100
"004",148118.0657334245,34677.090763515211,8386.1615958809634,-0.5,-1.4,-2.4,0,0,0,8.8431729697103716,7.88182468511217,10.268198234722584,8.80117596570931,7.7742379351830868,10.020945069369358,2.6281071201289721,2.6038377290491024,2.6143051178832453,2.6281071201289721,2.6038377290491024,2.6143051178832453,"Young Children",100
"005",137093.76127801463,28591.270748825431,6856.0700265040568,-6.7,-17.3,-48.7,0,0,0,6.9073273448175447,7.6557465091299663,6.3045912653975371,6.4469881947089007,6.3319011815252413,3.2362821948488247,2.1387289711251984,2.156283566058002,1.1422172452407615,2.1387289711251984,2.156283566058002,1.1422172452407615,"Young Children",100
"009",151926.23747424368,35147.859860699609,8316.4453361316409,-1.1,-2.8,-11.7,0,0,0,7.3695018247909267,7.75028352296996,4.4123583256411942,7.2847905881881792,7.5306745809963935,3.8965185676406131,2.071240779282876,1.4957874002814924,1.0384185663472181,2.071240779282876,1.4957874002814924,1.0384185663472181,"Young Children",100
"045",117771.95295508276,24269.640233569524,7359.3565844502846,0,0,0,0,0,0,21.449398714101395,27.139301292682845,18.858675270130302,21.449398714101395,27.139301292682845,18.858675270130302,7.8874847790625964,7.872543029387832,3.5990688801692934,7.8874847790625964,7.872543029387832,3.5990688801692934,"Young Children",100
"035",138772.6739831373,29334.717660360671,7224.587102113348,0,0,0,0,0,0,8.2136582500046789,5.41606447192078,6.98026998640133,8.2136582500046789,5.41606447192078,6.98026998640133,3.3781786526411208,2.5094309272937014,3.1039502656549067,3.3781786526411208,2.5094309272937014,3.1039502656549067,"Young Children",100
"014",141946.04743803211,34745.048265983918,8938.4926896043617,-1.9,-4.2,-5,0,0,0,11.097748013477153,13.733999978829733,21.210579777282231,10.884855413386664,13.15470325361146,20.143611455794382,3.0986004316335332,1.9416320192332643,2.413085331737054,3.0986004316335332,1.9416320192332643,2.413085331737054,"Young Children",100
"020",141302.71815447757,32011.985805741428,10487.595621680797,-3.2,-8.4,-14.6,0,0,0,18.061915420361878,19.341005283375043,20.633639299210834,17.489084646851381,17.710273369574043,17.6119695820883,5.4707142439529921,4.3033651278127811,2.4061060063026645,5.4707142439529921,4.3033651278127811,2.4061060063026645,"Young Children",100
