,reform,district,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate
10,All Children 100,009,-4.2,-9.0,-16.9,-1.5,-5.9,-8.9,151926.23747424368,35147.85986069961,8316.445336131641,7.369501824790927,7.75028352296996,4.412358325641194,7.05795130799424,7.050159830094496,3.667102160784129,0.02071240779282876,0.014957874002814923,0.01038418566347218,0.020405303796385714,0.014075874600973823,0.009461698505003988
11,All Children 100,040,-4.0,-10.4,-6.8,-4.5,-11.3,-3.7,104197.73262145191,21160.71358460886,6593.244645583044,26.531356208717543,34.72289103148904,30.917200086729185,25.470395519543338,31.117017239446774,28.824412137105927,0.09657340946095563,0.11018875844582557,0.09174366764974483,0.09225699614500579,0.09769614504398956,0.08831577290821824
12,All Children 100,045,-2.6,-5.0,-3.1,-8.8,-29.6,-12.0,117771.95295508276,24269.640233569524,7359.356584450285,21.449398714101395,27.139301292682845,18.858675270130302,20.899262258328772,25.791005356066048,18.2697127114605,0.07887484779062597,0.07872543029387832,0.035990688801692934,0.0719240631658053,0.05543803425273068,0.03165703463330786
13,All Children 100,046,-4.2,-9.0,-8.8,-11.3,-26.5,-14.8,115319.12860217909,23573.20187336759,6814.72179616557,31.273729359061125,47.17596690787056,38.986071675837394,29.949801606873393,42.911426248472644,35.568590529403885,0.11424270600977039,0.14794950288152822,0.07215561810052457,0.10138930587090866,0.10872165348195063,0.06145497129468184
14,All Children 100,007,-0.9,-0.8,-1.5,-5.6,-16.4,-24.3,141761.4907281592,29232.372454450477,7020.847573886839,9.180863359940401,10.414080497025099,18.815802294184596,9.102742986040763,10.329698973199083,18.527156618940296,0.03085325836821983,0.025874805879260478,0.0594672776079181,0.029132032968633443,0.02161885370449591,0.04499795803622238
15,All Children 100,034,-3.2,-4.6,-9.2,-14.1,-12.3,-24.5,134751.91586952424,30031.386383115554,8292.506364727447,11.168883530696679,13.727408728660134,24.548181254778314,10.810539740550796,13.102280655258799,22.284274314519344,0.05505529534395442,0.08559065708391249,0.1558808879818773,0.04727220218228122,0.07504162084526496,0.11767745836500723
16,All Children 100,035,-3.7,-12.8,0.0,0.0,0.0,0.0,138772.6739831373,29334.71766036067,7224.587102113348,8.213658250004679,5.41606447192078,6.98026998640133,7.907800560670528,4.721023225765714,6.98026998640133,0.03378178652641121,0.025094309272937015,0.031039502656549065,0.03378178652641121,0.025094309272937015,0.031039502656549065
17,All Children 100,015,-5.5,-9.7,-18.2,-12.4,-39.2,-60.5,132970.1432124917,28885.262020136455,6484.895562572541,9.967103322512985,11.834006621129426,13.404743560291935,9.416225114810002,10.687239886819096,10.962082169603736,0.029812105707604182,0.02497062997753498,0.03488506446048574,0.026120850124623077,0.015189974159998542,0.013778532525359656
18,All Children 100,016,-5.5,-11.9,-44.2,-0.2,-0.8,-2.5,135523.97006429,28924.258288966797,6520.4750057160345,8.851974055490112,9.697845511194256,11.521594204421486,8.362031413908742,8.544893397982921,6.434610358066238,0.03170765285806048,0.026801317418289075,0.01388165877099014,0.03162925161528547,0.026596097289723106,0.013530363293986648
19,All Children 100,017,-5.3,-10.6,-14.5,-24.8,-70.2,-95.7,148403.13987533527,29756.94306138756,6457.733047595881,16.21691875547834,17.73666891885152,30.4620129954975,15.349431137127581,15.855218645502603,26.060160329512943,0.04344181844958863,0.04283617886540642,0.0567967816797042,0.03267391242359538,0.012776110673146445,0.0024255261828940917
