,reform,district,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate
31,All Children 100,006,-7.6,-2.9,0.0,-16.7,-30.0,-11.4,125611.7874249458,26627.900369576055,6495.668314121458,0.15173866692253685,0.1415781584874165,0.0959892051711722,0.1402239810763487,0.13749978016795888,0.0959892051711722,0.05417839157404414,0.07383073456362595,0.0368880221750491,0.04514856453401522,0.05165924627398695,0.032699866035225976
32,All Children 100,008,0.0,0.0,0.0,-7.3,-29.1,-33.8,131122.27886295505,27579.985376932043,8905.386181606156,0.14388254811159018,0.1557067050759926,0.3223136877749999,0.14388254811159018,0.1557067050759926,0.3223136877749999,0.060281635284140496,0.04383401968539787,0.06947652882701924,0.05590544904309662,0.031057229083178806,0.04596198918387214
33,All Children 100,042,0.0,0.0,0.0,-7.0,-17.5,-4.9,131511.08893079936,27892.91390160102,7397.141166917899,0.10915223217817072,0.11101954795899453,0.09439025178554457,0.10915223217817072,0.11101954795899453,0.09439025178554457,0.057776944454259425,0.05202341960301566,0.0604556400185236,0.0537284650468775,0.04294235652442699,0.05747767542735527
34,All Children 100,001,-12.1,-29.3,-55.3,0.0,0.0,0.0,114170.96362899712,21238.114213837565,5578.435272971896,0.11085355658600969,0.11005014709458207,0.15924933955160636,0.0974510347536705,0.07783207608339957,0.07111238531541858,0.04137211672147138,0.042089366598234514,0.013969078277108646,0.04137211672147138,0.042089366598234514,0.013969078277108646
35,All Children 100,013,-6.2,-14.1,-9.7,0.0,0.0,0.0,148745.83789038018,36389.271209665174,9943.934317579071,0.07999514445240397,0.07100556394432579,0.07092252575369754,0.07506714711929718,0.060970144136802934,0.06404511139766933,0.027692324216020425,0.01242663893504158,0.025372985002822496,0.027692324216020425,0.01242663893504158,0.025372985002822496
36,All Children 100,031,0.0,0.0,0.0,-1.1,-2.5,0.0,145270.88316427977,32619.544246425525,9982.382059260528,0.07463323865795647,0.07158132330192994,0.037178120853448335,0.07463323865795647,0.07158132330192994,0.037178120853448335,0.02718229836588012,0.030199825126899955,0.021421208957119478,0.026869979608382888,0.02943061023227301,0.021421208957119478
37,All Children 100,032,-6.8,-15.4,-50.4,-0.6,-2.2,0.0,156224.75947178405,34893.13420019191,9381.886953436315,0.05891799154951797,0.0629867092492698,0.052778520872698215,0.05488319773221913,0.053312535193457536,0.02617179672535701,0.019281879041347354,0.013773803954014244,0.011010545228861543,0.019157056692656053,0.013464738002749513,0.011010545228861543
38,All Children 100,011,-11.4,-19.5,-22.1,-9.8,-32.7,-100.0,133963.79563157394,29444.971972330313,6855.220284896709,0.10981002457370936,0.10977969071335979,0.10357770495969329,0.0972602408838924,0.08838042164601184,0.08069308737089485,0.033230880988720415,0.023232966020200772,0.013676338005645352,0.029961741111215783,0.01562622963439931,0.0
39,All Children 100,025,-25.5,-51.4,-46.2,-4.0,-27.6,0.0,126097.64789268172,26867.999196267705,6875.930336358478,0.14216235814700642,0.21174346203795835,0.17791281268899836,0.10587590854743363,0.10283717110414023,0.09565311064127893,0.02839671105752708,0.01211817873398277,0.004468805002240771,0.027261856811733272,0.00877531506770098,0.004468805002240771
40,All Children 100,026,-11.2,-35.4,-18.6,0.0,0.0,0.0,127742.05797427213,24824.052780939528,6997.055186839021,0.12882211555112386,0.0974373592487523,0.10270612788800947,0.11433047123851575,0.06291252765298237,0.08363309445572623,0.04053874404331779,0.01661204124876037,0.009190221680425163,0.04053874404331779,0.01661204124876037,0.009190221680425163
41,All Children 100,041,-3.4,-10.0,-5.1,-2.3,-5.9,-2.0,112002.38869914619,23320.69949570873,7424.021401765578,0.25027279628216,0.29874722660855424,0.25540515867267255,0.24166738285241965,0.2688382910079875,0.24230121432520035,0.0922229004499366,0.09595695528223344,0.08558938625077585,0.09006467684554588,0.09029958509561184,0.08391332223132686
42,All Children 100,002,-18.2,-34.0,-66.3,0.0,0.0,0.0,133897.03637100285,29704.885786162435,7834.564727028104,0.09380149825029055,0.0982243267238828,0.06530520646319568,0.07668520330114043,0.06487126368748151,0.021992818671454216,0.03201344617263363,0.03228765907073099,0.01570915619389587,0.03201344617263363,0.03228765907073099,0.01570915619389587
43,All Children 100,047,-15.4,-29.4,-27.2,-5.4,-12.1,-13.4,131027.71179840367,35275.61925455575,12631.548778848854,0.21427605892727533,0.2686329031772165,0.23800353423827691,0.18137754083009,0.18965136763889792,0.17317271555073946,0.05764142968809204,0.057176222588547196,0.06350147127615494,0.054527297601346454,0.05027681921504879,0.054973883725100266
44,All Children 100,043,-3.7,-9.3,-4.5,-1.5,-6.6,0.0,111884.09461572432,21848.45846006528,6911.1266498892,0.19912568525246208,0.2337479592266474,0.23205487671701464,0.19170628548642182,0.21209242072254342,0.22150297448810655,0.07002328617313476,0.06695144453603576,0.07807527822801845,0.06895117949685993,0.0625633183876343,0.07807527822801845
45,All Children 100,030,-33.9,-68.2,-80.2,-0.4,-1.4,,133756.55459118503,28419.482580628835,8782.284245904804,0.08219408937833592,0.1377818724500952,0.07692828801285224,0.05436014951739038,0.043882670700899545,0.015213163058094394,0.015860517866567787,0.010231180269567874,0.0,0.015804790598712287,0.010086130986367976,0.0
46,All Children 100,033,-14.2,-40.5,-64.6,-2.9,-20.5,0.0,145629.0160642016,33012.007005937645,8479.474456595934,0.04848112340041133,0.049513997312771625,0.04161879749681358,0.041574088171619804,0.02946286530306765,0.014726086284483332,0.013956536649095243,0.004869379144032104,0.0018980167044652873,0.013546762888781125,0.003869680597610845,0.0018980167044652873
47,All Children 100,028,-9.0,-15.1,0.0,0.0,0.0,0.0,153445.79015279879,36302.886635973045,8134.728151387197,0.09070925974816056,0.11212459366357769,0.08541734329327703,0.08251357338812429,0.09519188782688856,0.08541734329327703,0.02436896658593418,0.015186065693076511,0.015914257875933743,0.02436896658593418,0.015186065693076511,0.015914257875933743
48,All Children 100,038,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,129652.98299008676,26979.170409235296,6765.31757045423,0.1238682441815253,0.12257754524584913,0.09846710666382798,0.11632505693495528,0.09972772409374835,0.07515435384287843,0.0685941232016886,0.07233997117078639,0.047583563977006596,0.06176192856746098,0.05288025198868186,0.025867575047902918
49,All Children 200,Maryland,-16.5,-34.8,-32.1,-15.7,-45.0,-46.7,6319406.000000001,1390540.0,376011.0,0.12544612579093667,0.1482647029211673,0.15847940618758494,0.10478817154650293,0.09665957110187409,0.10758993752842337,0.04102490012510669,0.038308858429099486,0.035501620963216504,0.034577142218746505,0.021065197692982582,0.01891699976862379
