,reform,county_fip,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate
16,All Children 100,23,-11.1,-28.3,-54.4,0.0,0.0,0.0,27805.481674612634,4980.81004171633,1306.9798867699644,11.413264826592313,11.286655395557629,18.173739169073542,10.144428083586579,8.091878971608464,8.28704732281715,0.04317177856449137,0.04442371596805223,0.013552543879137968,0.04317177856449137,0.04442371596805223,0.013552543879137968
17,All Children 100,27,-4.1,-8.8,-8.7,0.0,0.0,0.0,347480.0,83495.0,21180.0,7.718717624035916,7.4519432301335415,5.594900849858357,7.401001496489007,6.793221150967124,5.108593012275732,0.023883388972027166,0.013066650697646566,0.01794145420207743,0.023883388972027166,0.013066650697646566,0.01794145420207743
18,All Children 100,3,-14.0,-35.9,-54.6,-1.1,-3.7,0.0,612985.0,136078.0,38425.0,6.491186570633865,7.7315951145666455,5.2309694209499025,5.5846391020987465,4.958185746410147,2.373454782042941,0.018962943628310643,0.014425550052175959,0.008926480156148341,0.018747603938106153,0.013889093020179603,0.008926480156148341
19,All Children 100,43,-18.2,-34.0,-66.3,0.0,0.0,0.0,152311.0,33790.0,8912.0,9.380149825029052,9.82243267238828,6.5305206463195695,7.668520330114043,6.48712636874815,2.1992818671454217,0.032013446172633624,0.03228765907073099,0.01570915619389587,0.032013446172633624,0.03228765907073099,0.01570915619389587
20,All Children 100,17,-9.0,-15.1,0.0,0.0,0.0,0.0,174238.0,41222.0,9237.0,9.070925974816056,11.21245936635777,8.541734329327703,8.25135733881243,9.519188782688856,8.541734329327703,0.024368966585934182,0.015186065693076513,0.015914257875933743,0.024368966585934182,0.015186065693076513,0.015914257875933743
21,All Children 100,39,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,25728.571261935314,5353.79512644904,1342.5217932267974,12.386824418152528,12.257754524584913,9.846710666382798,11.632505693495524,9.972772409374834,7.5154353842878425,0.06859412320168859,0.0723399711707864,0.047583563977006596,0.061761928567460975,0.052880251988681855,0.025867575047902915
22,All Children 100,45,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,102537.29132992285,21336.732810095928,5350.415568256931,12.386824418152532,12.257754524584913,9.846710666382801,11.63250569349553,9.972772409374835,7.515435384287844,0.06859412320168862,0.0723399711707864,0.0475835639770066,0.06176192856746099,0.05288025198868187,0.02586757504790292
23,All Children 100,47,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,51764.13740814183,10771.472063455032,2701.0626385162723,12.386824418152532,12.257754524584914,9.846710666382798,11.632505693495531,9.972772409374834,7.5154353842878425,0.06859412320168862,0.0723399711707864,0.04758356397700659,0.06176192856746099,0.05288025198868187,0.025867575047902915
24,All Children 100,15,-5.8,-18.2,0.0,0.0,0.0,0.0,108229.0,23069.0,6038.0,10.631161703425144,7.59027266028003,6.2934746604836045,10.019495698934666,6.21179938445533,6.2934746604836045,0.04684511544964843,0.029606831678876414,0.0028155018217952965,0.04684511544964843,0.029606831678876414,0.0028155018217952965
25,All Children 200,Maryland,-16.5,-34.8,-32.1,-15.7,-45.0,-46.7,6319406.0,1390540.0,376011.0,12.544612579093666,14.826470292116731,15.847940618758493,10.478817154650296,9.66595711018741,10.758993752842336,0.04102490012510669,0.038308858429099486,0.035501620963216504,0.03457714221874651,0.021065197692982582,0.01891699976862379
26,All Children 200,11,-9.5,-24.8,0.0,0.0,0.0,0.0,34804.32229101806,6894.312502186309,1569.5779783351406,8.338500376455999,6.805287722534306,4.100171863491284,7.549603613977589,5.114446214471367,4.100171863491284,0.019022100181584657,0.013498784270981806,0.004051068008838693,0.019022100181584657,0.013498784270981806,0.004051068008838693
27,All Children 200,19,-9.5,-24.8,0.0,0.0,0.0,0.0,33844.93660288476,6704.269877916535,1526.312356432411,8.338500376455999,6.805287722534306,4.100171863491283,7.549603613977592,5.114446214471368,4.100171863491283,0.01902210018158466,0.013498784270981804,0.004051068008838694,0.01902210018158466,0.013498784270981804,0.004051068008838694
