,reform,race,total_pov_change,child_pov_change,young_child_pov_change,baby_pov_change,population,child_population,young_child_population,baby_population,total_pov_rate,child_pov_rate,young_child_pov_rate,baby_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,new_baby_pov_rate
10,All Children 200,Asian,-19.1,-30.4,-28.9,-49.2,376698.0,73781.0,18072.0,2824.0,0.1461170486702876,0.17522126292676976,0.21143204957945994,0.23689801699716714,0.11815831249435887,0.1219961778777734,0.1502324037184595,0.12039660056657224
11,All Children 200,Other,-21.8,-30.7,-30.3,-31.4,528840.0,200982.0,60615.0,11671.0,0.20934498146887529,0.21474559910837787,0.22098490472655283,0.24308114129037786,0.16367143181302474,0.14891383307957926,0.154136764827188,0.16665238625653328
12,Young Children 100,All,-2.0,-4.3,-9.9,-10.7,5905181.0,1328582.0,356194.0,64250.0,0.12926648649719627,0.14890386893695684,0.1590958859497914,0.17998443579766538,0.12664048739572928,0.1425053176996226,0.1433067373397643,0.16073151750972764
13,Young Children 100,White,-1.5,-5.0,-18.1,-23.1,2950918.0,546644.0,143955.0,26254.0,0.08518535587908577,0.06989558103628687,0.061769302907158485,0.07572179477412966,0.08388067713165868,0.06640336306627348,0.05058525233579938,0.058238744572255655
14,Young Children 100,Black,-0.9,-2.1,-3.9,-6.7,1772835.0,416371.0,107065.0,20244.0,0.1693778608838386,0.20420970720823498,0.2387241395414001,0.27771191464137523,0.16776970220014836,0.1999562889826621,0.22934665857189557,0.25903971547125076
15,Young Children 100,Hispanic,-2.1,-3.7,-10.3,0.0,275890.0,90804.0,26487.0,3257.0,0.16650114175939687,0.2038236201048412,0.18884735908181371,0.13754989253914646,0.16292725361557142,0.19637901414034625,0.16940385849662098,0.13754989253914646
16,Young Children 100,Asian,-4.4,-7.6,-19.4,-19.3,376698.0,73781.0,18072.0,2824.0,0.1461170486702876,0.17522126292676976,0.21143204957945994,0.23689801699716714,0.1396662578511168,0.16197937138287635,0.17048472775564408,0.19121813031161472
17,Young Children 100,Other,-4.9,-7.3,-13.1,-9.6,528840.0,200982.0,60615.0,11671.0,0.20934498146887529,0.21474559910837787,0.22098490472655283,0.24308114129037786,0.19915286286967704,0.19898299350190565,0.19203167532788915,0.21986119441350355
18,Young Children 200,All,-3.9,-8.1,-19.0,-20.9,5905181.0,1328582.0,356194.0,64250.0,0.12926648649719627,0.14890386893695684,0.1590958859497914,0.17998443579766538,0.12419974933875863,0.1368255779470142,0.12882305709809821,0.14244357976653696
19,Young Children 200,White,-2.3,-7.5,-27.7,-40.1,2950918.0,546644.0,143955.0,26254.0,0.08518535587908577,0.06989558103628687,0.061769302907158485,0.07572179477412966,0.08325138143452308,0.06468195022720455,0.044632003056510716,0.045364515883293974
20,Young Children 200,Black,-2.2,-4.1,-9.0,-10.1,1772835.0,416371.0,107065.0,20244.0,0.1693778608838386,0.20420970720823498,0.2387241395414001,0.27771191464137523,0.16562060203008175,0.1957893321100653,0.21712978097417457,0.24975301323849042
21,Young Children 200,Hispanic,-14.4,-19.4,-45.4,-78.1,275890.0,90804.0,26487.0,3257.0,0.16650114175939687,0.2038236201048412,0.18884735908181371,0.13754989253914646,0.1426003117184385,0.16418880225540725,0.10314493902669233,0.030089038992938286
22,Young Children 200,Asian,-4.8,-8.0,-21.0,-19.3,376698.0,73781.0,18072.0,2824.0,0.1461170486702876,0.17522126292676976,0.21143204957945994,0.23689801699716714,0.13905303452633144,0.16115260026294032,0.16710934041611333,0.19121813031161472
23,Young Children 200,Other,-7.5,-11.7,-21.9,-20.1,528840.0,200982.0,60615.0,11671.0,0.20934498146887529,0.21474559910837787,0.22098490472655283,0.24308114129037786,0.19365592617805008,0.18959906857330508,0.17259754186257528,0.19424213863422157
