,reform,district,total_pov_change,child_pov_change,young_child_pov_change,baby_pov_change,population,child_population,young_child_population,baby_population,total_pov_rate,child_pov_rate,young_child_pov_rate,baby_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,new_baby_pov_rate
97,Babies,9,0.0,0.0,0.0,0.0,128170.0,30547.0,6229.0,1295.0,0.14307560271514394,0.21226307002324288,0.2987638465243217,0.2,0.14307560271514394,0.21226307002324288,0.2987638465243217,0.2
98,Babies,36,0.0,0.0,0.0,,118111.0,25978.0,7076.0,916.0,0.14752224602280906,0.17229963815536223,0.20195025438100622,0.0,0.14752224602280906,0.17229963815536223,0.20195025438100622,0.0
99,Babies,31,0.0,0.0,0.0,0.0,123836.0,29648.0,6155.0,434.0,0.13844116412028812,0.1657447382622774,0.1735174654752234,0.6336405529953917,0.13844116412028812,0.1657447382622774,0.1735174654752234,0.6336405529953917
100,Babies,45,0.0,0.0,0.0,0.0,129847.0,29560.0,8558.0,998.0,0.12403058984805194,0.15656292286874154,0.16288852535639167,0.05511022044088176,0.12403058984805194,0.15656292286874154,0.16288852535639167,0.05511022044088176
101,Babies,43,0.0,0.0,0.0,0.0,128282.0,29760.0,8281.0,1548.0,0.12483434932414524,0.1817204301075269,0.32339089481946626,0.36563307493540054,0.12483434932414524,0.1817204301075269,0.32339089481946626,0.36563307493540054
102,Babies,32,0.0,0.0,0.0,0.0,127150.0,26958.0,9632.0,1567.0,0.14683444750294927,0.141776096149566,0.2159468438538206,0.2393107849393746,0.14683444750294927,0.141776096149566,0.2159468438538206,0.2393107849393746
103,Babies,16,0.0,0.0,0.0,,122772.0,27415.0,7270.0,538.0,0.1279119017365523,0.1421484588728798,0.1657496561210454,0.0,0.1279119017365523,0.1421484588728798,0.1657496561210454,0.0
104,Babies,28,0.0,0.0,0.0,0.0,125571.0,28702.0,5695.0,535.0,0.12713126438429256,0.1714514667967389,0.16681299385425813,0.18504672897196262,0.12713126438429256,0.1714514667967389,0.16681299385425813,0.18504672897196262
105,Babies,15,0.0,0.0,0.0,0.0,124990.0,28565.0,7709.0,1691.0,0.13095447635810864,0.15536495711535095,0.2114411726553379,0.2637492607924305,0.13095447635810864,0.15536495711535095,0.2114411726553379,0.2637492607924305
106,Babies,21,0.0,0.0,0.0,0.0,129107.0,29087.0,9713.0,1468.0,0.14388840264276917,0.12050056726372606,0.07773087614537218,0.24659400544959129,0.14388840264276917,0.12050056726372606,0.07773087614537218,0.24659400544959129
107,Babies,20,-1.1,-2.7,0.0,0.0,127441.0,32646.0,8941.0,1620.0,0.14239530449384422,0.21503400110273846,0.26182753606979087,0.12222222222222222,0.14089657174692602,0.209183360901795,0.26182753606979087,0.12222222222222222
108,Babies,38,0.0,0.0,0.0,0.0,128726.0,28223.0,6435.0,848.0,0.13184593632987895,0.16596393012790986,0.12074592074592075,0.08372641509433962,0.13184593632987895,0.16596393012790986,0.12074592074592075,0.08372641509433962
109,Babies,24,0.0,0.0,0.0,,126530.0,29375.0,7919.0,1571.0,0.1267525488026555,0.1382127659574468,0.22022982699835839,0.0,0.1267525488026555,0.1382127659574468,0.22022982699835839,0.0
110,Babies,29,-0.8,-2.8,-4.9,0.0,126447.0,26728.0,8590.0,657.0,0.12061970628010155,0.168923974857827,0.29988358556461003,0.1506849315068493,0.11961533290627693,0.16417240347201437,0.2850989522700815,0.1506849315068493
111,Babies,25,-0.9,0.0,0.0,0.0,121702.0,27439.0,7513.0,2683.0,0.1638428292057649,0.18284194030394693,0.21975242912285373,0.4189340290719344,0.1623473730916501,0.18284194030394693,0.21975242912285373,0.4189340290719344
112,Babies,10,0.0,0.0,0.0,,130006.0,30648.0,7661.0,1254.0,0.1484777625648047,0.15952101279039416,0.03602662837749641,0.0,0.1484777625648047,0.15952101279039416,0.03602662837749641,0.0
113,Babies,26,0.0,0.0,0.0,0.0,125673.0,32431.0,9343.0,1824.0,0.13649709961566925,0.13080077703431903,0.1092796746227122,0.022478070175438597,0.13649709961566925,0.13080077703431903,0.1092796746227122,0.022478070175438597
114,Babies,11,0.0,0.0,0.0,0.0,131491.0,27542.0,8333.0,2501.0,0.1361233848704474,0.19192505990850336,0.2247689907596304,0.25469812075169934,0.1361233848704474,0.19192505990850336,0.2247689907596304,0.25469812075169934
115,Babies,35,-0.7,-3.7,-12.8,-47.5,128817.0,29743.0,6931.0,1424.0,0.1184315734724454,0.09508119557542952,0.11715481171548117,0.15379213483146068,0.11762422661605224,0.09158457452173621,0.10214976193911413,0.08075842696629214
116,Babies,41,0.0,0.0,0.0,0.0,129111.0,27402.0,6457.0,879.0,0.13072472523642448,0.14404058097949055,0.16787982035000773,0.09783845278725825,0.13072472523642448,0.14404058097949055,0.16787982035000773,0.09783845278725825
117,Babies,19,0.0,0.0,0.0,,131020.0,29989.0,7746.0,1114.0,0.1352999542054648,0.15155557037580447,0.08675445391169635,0.0,0.1352999542054648,0.15155557037580447,0.08675445391169635,0.0
118,Babies,34,-1.1,0.0,0.0,,127822.0,27536.0,6461.0,1359.0,0.12073821407895355,0.1048445671121441,0.039622349481504414,0.0,0.11946300323887907,0.1048445671121441,0.039622349481504414,0.0
119,Babies,37,0.0,0.0,0.0,0.0,122349.0,28596.0,7726.0,1863.0,0.12739785368086376,0.15928801230941392,0.14380015531969972,0.166935050993022,0.12739785368086376,0.15928801230941392,0.14380015531969972,0.166935050993022
120,Babies,30,0.0,0.0,0.0,,123044.0,23675.0,7353.0,1827.0,0.10163843828224049,0.0824920802534319,0.06024751801985584,0.0,0.10163843828224049,0.0824920802534319,0.06024751801985584,0.0
121,Babies,46,-0.2,0.0,0.0,0.0,137200.0,34818.0,9471.0,2285.0,0.1326530612244898,0.1216899304957206,0.16017316017316016,0.2603938730853392,0.13238338192419824,0.1216899304957206,0.16017316017316016,0.2603938730853392
122,Babies,39,0.0,0.0,0.0,0.0,126598.0,28388.0,8763.0,2426.0,0.14149512630531288,0.19356770466394252,0.19936094944653657,0.17518549051937346,0.14149512630531288,0.19356770466394252,0.19936094944653657,0.17518549051937346
123,Babies,47,0.0,0.0,0.0,,120836.0,28092.0,7350.0,638.0,0.12226488794730048,0.15068346860316104,0.10108843537414966,0.0,0.12226488794730048,0.15068346860316104,0.10108843537414966,0.0
