,reform,county_fip,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate,total_deep_poor,new_total_deep_poor
10,All Children 100,31,-10.2,-16.6,-21.0,-14.3,-36.9,-54.2,1117479.0,253075.0,68066.0,0.13913997488990845,0.1690289439889361,0.2183762818440925,0.12495536828880006,0.14090684579670057,0.1725971850850645,0.03968933644390633,0.035527017682505185,0.033379367084888194,0.03403106456586656,0.02243208535019263,0.015293979372961538,44352.0,38029.0
11,All Children 100,9,-2.3,-2.9,-5.4,-7.5,-9.8,-45.5,100193.2768092404,23095.86212040177,5038.917581366137,0.08495229388223377,0.1141224045415662,0.09659597219746925,0.08297144803416734,0.11085620965860486,0.09142755302085188,0.04453317916795511,0.07875806827902634,0.0780609517020139,0.04118546005368899,0.07100085543199314,0.04250579219390483,4461.925147570424,4126.506199675174
12,All Children 100,37,-2.3,-2.9,-5.4,-7.5,-9.8,-45.5,122943.7231907596,28340.13787959823,6183.082418633863,0.0849522938822338,0.11412240454156625,0.09659597219746927,0.08297144803416735,0.11085620965860488,0.0914275530208519,0.04453317916795512,0.07875806827902639,0.07806095170201391,0.04118546005368899,0.07100085543199317,0.04250579219390483,5475.074852429576,5063.493800324826
13,All Children 100,21,-8.4,-18.6,-6.4,-3.6,-11.6,0.0,275124.0,62421.0,16185.0,0.1004274436254198,0.10501273609842841,0.12721655854185976,0.09200578648173187,0.08550007209112317,0.11906085881989496,0.02935040200055248,0.0280674772912962,0.024590670373802904,0.02828179293700295,0.024815366623411994,0.024590670373802904,8075.0,7781.0
14,All Children 100,5,-9.9,-18.2,-21.9,-11.0,-30.0,-33.6,865896.0,186739.0,50331.0,0.12710186904662915,0.13257005767407987,0.17096819057837118,0.11454262405646867,0.108386571632064,0.13355586020544,0.0463196503968144,0.037180235515880455,0.03272337128211242,0.0412081820449569,0.026014919218802713,0.02171623850112257,40108.0,35682.0
15,All Children 100,1,-11.1,-28.3,-54.4,0.0,0.0,0.0,67951.51832538737,12172.18995828367,3194.0201132300363,0.11413264826592309,0.1128665539555763,0.18173739169073536,0.10144428083586578,0.08091878971608465,0.08287047322817151,0.04317177856449137,0.04442371596805224,0.01355254387913797,0.04317177856449137,0.04442371596805224,0.01355254387913797,2933.587902264601,2933.587902264601
16,All Children 100,23,-11.1,-28.3,-54.4,0.0,0.0,0.0,27805.481674612634,4980.81004171633,1306.9798867699644,0.11413264826592312,0.1128665539555763,0.1817373916907354,0.10144428083586579,0.08091878971608464,0.0828704732281715,0.04317177856449137,0.04442371596805223,0.013552543879137968,0.04317177856449137,0.04442371596805223,0.013552543879137968,1200.4120977353994,1200.4120977353994
17,All Children 100,27,-4.1,-8.8,-8.7,0.0,0.0,0.0,347480.0,83495.0,21180.0,0.07718717624035916,0.07451943230133541,0.05594900849858357,0.07401001496489007,0.06793221150967124,0.05108593012275732,0.023883388972027166,0.013066650697646566,0.01794145420207743,0.023883388972027166,0.013066650697646566,0.01794145420207743,8299.0,8299.0
18,All Children 100,3,-14.0,-35.9,-54.6,-1.1,-3.7,0.0,612985.0,136078.0,38425.0,0.06491186570633865,0.07731595114566646,0.052309694209499026,0.055846391020987464,0.04958185746410147,0.023734547820429407,0.018962943628310643,0.014425550052175959,0.008926480156148341,0.018747603938106153,0.013889093020179603,0.008926480156148341,11624.0,11492.0
19,All Children 100,43,-18.2,-34.0,-66.3,0.0,0.0,0.0,152311.0,33790.0,8912.0,0.09380149825029052,0.0982243267238828,0.0653052064631957,0.07668520330114043,0.0648712636874815,0.02199281867145422,0.032013446172633624,0.03228765907073099,0.01570915619389587,0.032013446172633624,0.03228765907073099,0.01570915619389587,4876.0,4876.0
